iter	Passed	Remaining
614	25107	15717
615	25154	15680
616	25204	15645
617	25250	15607
618	25290	15566
619	25328	15523
620	25369	15483
621	25407	15440
622	25447	15399
623	25484	15356
624	25526	15315
625	25570	15277
626	25613	15237
627	25655	15197
628	25695	15155
629	25740	15117
630	25782	15077
631	25822	15036
632	25867	14997
633	25907	14956
634	25955	14919
635	26005	14883
636	26051	14845
637	26093	14805
638	26137	14766
639	26177	14724
640	26214	14681
641	26258	14642
642	26298	14601
643	26338	14559
644	26377	14517
645	26417	14476
646	26457	14435
647	26501	14396
648	26545	14356
649	26591	14318
650	26627	14274
651	26665	14232
652	26703	14190
653	26745	14149
654	26786	14108
655	26824	14066
656	26860	14023
657	26897	13980
658	26935	13937
659	26973	13895
660	27015	13855
661	27061	13816
662	27100	13774
663	27136	13731
664	27172	13688
665	27212	13647
666	27258	13608
667	27314	13575
668	27362	13538
669	27408	13499
670	27447	13457
671	27501	13423
672	27607	13414
673	27651	13374
674	27689	13332
675	27731	13291
676	27773	13250
677	27817	13211
678	27860	13171
679	27901	13130
680	27941	13088
681	27980	13046
682	28028	13008
683	28072	12969
684	28114	12928
685	28156	12887
686	28202	12849
687	28255	12813
688	28307	12777
689	28356	12739
690	28401	12700
691	28443	12660
692	28486	12619
693	28532	12580
694	28576	12540
695	28625	12503
696	28674	12465
697	28726	12428
698	28776	12391
699	28830	12355
700	28874	12315
701	28918	12276
702	28960	12235
703	29001	12193
704	29046	12154
705	29090	12113
706	29140	12076
707	29183	12036
708	29228	11996
709	29272	11956
710	29313	11915
711	29356	11874
712	29397	11833
713	29440	11792
714	29486	11753
715	29525	11711
716	29562	11668
717	29598	11624
718	29634	11581
719	29670	11538
720	29709	11496
721	29749	11454
722	29794	11414
723	29836	11374
724	29879	11333
725	29917	11291
726	29955	11248
727	29994	11206
728	30035	11165
729	30077	11124
730	30129	11087
731	30172	11046
732	30214	11005
733	30255	10964
734	30295	10922
735	30344	10884
736	30405	10850
737	30482	10821
738	30558	10792
739	30640	10765
740	30685	10725
741	30742	10689
742	30784	10648
743	30826	10606
744	30868	10565
745	30910	10524
746	30953	10483
747	30992	10441
748	31034	10400
749	31076	10358
750	31112	10315
751	31152	10273
752	31194	10232
753	31236	10191
754	31279	10150
755	31325	10110
756	31367	10069
757	31408	10027
758	31449	9986
759	31486	9943
760	31531	9902
761	31571	9860
762	31609	9818
763	31651	9777
764	31691	9735
765	31733	9693
766	31776	9653
767	31821	9612
768	31866	9572
769	31912	9532
770	31954	9490
771	31994	9449
772	32044	9410
773	32086	9368
774	32127	9327
775	32166	9285
776	32210	9244
777	32250	9202
778	32292	9161
779	32339	9121
780	32381	9080
781	32423	9038
782	32477	9000
783	32530	8962
784	32579	8923
785	32625	8882
786	32666	8841
787	32707	8799
788	32748	8757
789	32792	8716
790	32833	8675
791	32875	8634
792	32916	8592
793	32958	8550
794	33010	8512
795	33055	8471
796	33102	8431
797	33142	8389
798	33186	8348
799	33229	8307
800	33273	8266
801	33317	8225
802	33361	8184
803	33400	8142
804	33439	8100
805	33481	8058
806	33525	8017
807	33564	7975
808	33607	7934
809	33652	7893
810	33700	7853
811	33751	7814
812	33802	7775
813	33848	7734
814	33897	7694
815	33943	7653
816	33990	7613
817	34035	7572
818	34084	7532
819	34131	7492
820	34179	7451
821	34229	7412
822	34275	7371
823	34320	7330
824	34366	7289
825	34408	7248
826	34452	7207
827	34496	7166
828	34539	7124
829	34581	7082
830	34622	7041
831	34662	6999
832	34704	6957
833	34746	6916
834	34790	6874
835	34832	6833
836	34871	6791
837	34914	6749
838	34953	6707
839	34995	6665
840	35038	6624
841	35082	6583
842	35124	6541
843	35162	6499
844	35203	6457
845	35243	6415
846	35284	6373
847	35329	6332
848	35378	6292
849	35428	6252
850	35478	6211
851	35526	6171
852	35573	6130
853	35620	6089
854	35670	6049
855	35718	6008
856	35764	5967
857	35813	5927
858	35861	5886
859	35902	5844
860	35948	5803
861	35992	5762
862	36034	5720
863	36079	5679
864	36121	5637
865	36164	5595
866	36210	5554
867	36256	5513
868	36302	5472
869	36347	5431
870	36390	5389
871	36433	5348
872	36475	5306
873	36517	5264
874	36563	5223
875	36607	5181
876	36652	5140
877	36699	5099
878	36746	5058
879	36791	5017
880	36842	4976
881	36888	4935
882	36931	4893
883	36973	4851
884	37019	4810
885	37064	4769
886	37109	4727
887	37161	4687
888	37207	4645
889	37254	4604
890	37299	4562
891	37348	4522
892	37396	4480
893	37447	4440
894	37509	4400
895	37566	4360
896	37616	4319
897	37664	4278
898	37714	4237
899	37770	4196
900	37825	4156
901	37878	4115
902	37925	4073
903	37982	4033
904	38034	3992
905	38087	3951
906	38145	3911
907	38208	3871
908	38258	3830
909	38310	3788
910	38362	3747
911	38417	3706
912	38469	3665
913	38522	3624
914	38581	3584
915	38639	3543
916	38694	3502
917	38747	3461
918	38797	3419
919	38846	3377
920	38893	3336
921	38939	3294
922	38991	3252
923	39047	3211
924	39100	3170
925	39156	3129
926	39205	3087
927	39255	3045
928	39311	3004
929	39366	2963
930	39423	2921
931	39480	2880
932	39535	2839
933	39582	2797
934	39628	2754
935	39668	2712
936	39711	2670
937	39753	2627
938	39800	2585
939	39846	2543
940	39893	2501
941	39942	2459
942	39989	2417
943	40035	2374
944	40077	2332
945	40119	2290
946	40158	2247
947	40204	2205
948	40244	2162
949	40287	2120
950	40327	2077
951	40367	2035
952	40408	1992
953	40448	1950
954	40490	1907
955	40530	1865
956	40573	1823
957	40609	1780
958	40648	1737
959	40686	1695
960	40727	1652
961	40767	1610
962	40810	1568
963	40850	1525
964	40886	1482
965	40925	1440
966	40965	1397
967	41006	1355
968	41044	1313
969	41088	1270
970	41131	1228
971	41168	1185
972	41204	1143
973	41246	1101
974	41288	1058
975	41333	1016
976	41382	974
977	41429	931
978	41472	889
979	41514	847
980	41557	804
981	41602	762
982	41644	720
983	41690	677
984	41728	635
985	41768	593
986	41810	550
987	41851	508
988	41892	465
989	41931	423
990	41973	381
991	42011	338
992	42050	296
993	42090	254
994	42132	211
995	42168	169
996	42206	127
997	42244	84
998	42287	42
999	42323	0
